,fname,text
0,ccnet.ntu.edu.tw_voip?page=phone_apply,"網址（url）：https://ccnet.ntu.edu.tw/voip?page=phone_apply  content_paste電話業務 新申裝電話 3366 直撥電話 符合學校補助原則者請填寫： 裝設 3366 直撥電話補助申請書（Word 檔，ODF 檔） 中華電信市話申請表（PDF 檔）※ 一批只需填寫一張，地址填""詳如清冊"" 電話裝機清冊（Excel檔，ODF檔） 單位自費申請者請填寫： 自費電話申請表（Word檔，ODF檔） 中華電信市話申請表（PDF檔）※ 一批只需填寫一張，請填黃底處，地址填“詳如清冊 電話裝機清冊（Excel檔，ODF檔）  校內 5 碼分機 自費電話申請表（Word檔，ODF檔） 5碼分機裝機清冊（Excel檔，ODF檔） 公務用網路電話 自費電話申請表（Word檔，ODF檔） 公務用網路電話裝機清冊（Excel檔，ODF檔） 行動電話門號 自費電話申請表（Word檔，ODF檔） 行動電話門號申請表   新申裝電話 電話功能調整與帳務相關 話機功能與操作 業務窗口及障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   "
1,ccnet.ntu.edu.tw_voip?page=voip_usage,網址（url）：https://ccnet.ntu.edu.tw/voip?page=voip_usage  phoneVoIP 網路電話 網路電話使用方式 網路電話 frSIP App+Web+Softphone smartphone 行動裝置App  web 網頁版Web介面（忘記密碼由此入）  desktop_windows Windows版軟體電話  desktop_mac Mac版軟體電話  phone 網路話機.  phone IP話機使用方式.  其他進階功能 meeting_room 個人會議室virtual meeting   網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
2,ccnet.ntu.edu.tw_voip?page=service#6,網址（url）：https://ccnet.ntu.edu.tw/voip?page=service#6  Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
3,ccnet.ntu.edu.tw_voip?page=service#4,網址（url）：https://ccnet.ntu.edu.tw/voip?page=service#4  Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
4,ccnet.ntu.edu.tw_voip?page=service#5,網址（url）：https://ccnet.ntu.edu.tw/voip?page=service#5  Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
5,ccnet.ntu.edu.tw_voip?page=service#1,網址（url）：https://ccnet.ntu.edu.tw/voip?page=service#1  Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
6,ccnet.ntu.edu.tw_voip?page=service#2,網址（url）：https://ccnet.ntu.edu.tw/voip?page=service#2  Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
7,ccnet.ntu.edu.tw_voip?page=tanet_voip,"網址（url）：https://ccnet.ntu.edu.tw/voip?page=tanet_voip  phoneVoIP 網路電話 TANet 網路語音交換平台 臺灣學術網路「TANet網路語音交換平台」-- 提供各大專院校及區縣市網中心自建的網路語音系統，透過此平台達到語音互通的效果，進而讓學術網路各單位能夠在電話話務上達到節費效益。 TANet網路語音交換平台採取前置碼路由方式，也就是各區縣市網中心各配予一個3碼的前置碼，以作為語音交換平台判斷語音流量導向的依據。 				以臺灣大學為例，本校被分配到「926」，因此未來在TANet網路語音交換平台上，本校的網路電話使用者即可以""926xxxxx""（後5碼為本校校內之網路電話號碼）與其它參與TANet網路語音交換平台的單位互通。例如，教育部的VoIP號碼為900xxxxx，本校使用者登入臺大計中網路電話系統後，便可直撥教育部的網路電話900xxxxx，以完全免費的方式和校外單位通話；而其它學術單位也可以透過TANet網路語音交換平台直撥926xxxxx給臺大的網路電話系統。 				更多詳細資訊，請參考TANet網路語音交換平台  網路電話號碼申請 申請網路電話開放外撥權限 網路電話使用方式 TANet 網路語音交換平台   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   "
8,ccnet.ntu.edu.tw_voip?page=service#3,網址（url）：https://ccnet.ntu.edu.tw/voip?page=service#3  Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
9,ccnet.ntu.edu.tw_voip?page=phone_bill,網址（url）：https://ccnet.ntu.edu.tw/voip?page=phone_bill  content_paste電話業務 帳單及通話明細等業務 申請通話明細 中華電信帳務相關業務申請書（Excel檔，ODF格式）（請填黃底處，檔名請加註單位名稱，並將電子檔寄至ccn98@ntu.edu.tw） ※ 注意：所有申請表皆須經系所單位主管核 補送帳單（電子檔） 提供需補寄帳單之電話號碼及單位名稱，寄至ccn98@ntu.edu.tw申請 ※ 其他中華電信事項可洽中華電信客服，以臺大證號「309200000Q」查詢   新申裝電話 電話功能調整 帳單及通話明細等業務 移機及過戶等異動 話機功能與操作 業務窗口及障礙報修   Copyright (c) 2019 國立臺灣大學 計算機及資訊網路中心 資訊網路組   10617 臺北市羅斯福路四段1號 (02)3366-5006~5012   E-mail: net@ntu.edu.tw   
