,fname,text
0,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_peap_win11_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_peap_win11_engtest Wireless Network Guide Service Set Identifier (SSID) ntu_peap Please follow the instructions below to set up your ntu_peap connection on Windows 11. 1. From Quick Settings, click on the right arrow to see available Wi-Fi networks. 2. Choose ntu_peap and then click to connect. 3. Enter your account and password of NTU email, and click on OK. 4. Please click on Show Certificate Details to check whether the server fingerprint  is  identical as shown below. 5. Successfully connected to ntu_peap.   "
1,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=PEAP_EAP-TTLS-eduroam_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=PEAP_EAP-TTLS-eduroam_engtest Wireless Network Guide After setting up your NTU eduroam service, your username would be your NTU  email@eduroam.ntu.edu.tw. 1. Windows 10 1.1 From the Taskbar, find internet access and select eduroam. 1.2 Enter your user name and password. 1.3 If Continue connecting is shown, please make sure you do click on Show  certificate details, for you may get connected to a malicious network that might result in data leakage. Please check the server certificate is the same as shown in the picture below. 2. macOS 2.1 Click on Wi-Fi in the menu bar. 2.2 Click to turn on Wi-Fi. 2.3 Choose eduraom listed below. 2.4 Enter username and password, then click to join eduroam. 2.5 As shown in the picture below, once the prompt box Verify Certificate pops out, please do click on Show Certificate for authentication in case you connect to a malicious  network. 2.6 Make sure the certificate is the same as shown in the picture below. 3. iOS 3.1 Go to Settings > Wi-Fi. 3.2 In the Wi-Fi, available WiFi networks are shown, choose eduroam. 3.3 If eduroam is not shown, then choose Other and type in eduroam. 3.4 As shown, enter username and password, then click to join eduroam. 3.5 Please do click on More Details to check the certificate. 3. Please check whether the fingerprint, namely the SHA-256 and SHA-1, is the same as  shown in the picture below. 3.7 After checking the fingerprint, please click< Certificate to go back to the previous page. 3.8 If the fingerprints are not identical, please contact the Computer and Information Networking Center of  NTU,  and click to cancel connecting. 3.9 If identical, please click Trust to connect to eduroam. 4. Android 4.1 Go to Settings and select Wi-Fi. 4.2 Form the list of available networks, choose eduroam. 4.3 Enter the following details when you are asked to sign in for eduroam.  EAP method: PEAP Phase-2 authentication: MSCHAPV2 Online Certificate Status: Require certificate status Domain: ntu.edu.tw 4.4 Enter your account and password. 4.5 Click to connect to eduroam. 4.6 If you cannot successfully connect to the network following the steps above, please contact Computer and  Information Networking Center of NTU. For reminder, never choose Do not validate in CA certificate  , otherwise your personal information might be leaked to malicious users.   "
2,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=tour_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=tour_engtest Roaming outside NTU For NTU faculty and students, please have ""@eduroam.ntu.edu.tw"" added following  your account. Application for NTU eduroam:NTU eduroam For non-NTU faculy and students, please refer to:https://ccnet.ntu.edu.tw/ccnet/wireless.php?page=eduroam_tour   "
3,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_peap_mac_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_peap_mac_engtest Wireless Network Guide Service Set Identifier (SSID) ntu_peap Please follow the instructions below to set up ntu_peap on Mac OS. Since 2013 7/15, the account and password is set the same as your NTU mail(remember to omit the @ntu.edu.tw  part for the  account). If you have set your ntu_peap before, please delete the original setting, and reset with your NTU mail  again. For how to delete the original setting, please refer to http://ccnet.ntu.edu.tw/wireless2/clear_peap.html. 1 Click on Wi-Fi in the menu bar. 2 Click to turn on Wi-Fi. 3 Choose ntu_peap listed below. 4 Enter username and password, then click to join ntu_peap. 5 As shown in the picture below, once the prompt box Verify Certificate pops out, please do click on Show Certificate for authentication in case you connect to a malicious network. 6 Make sure the certificate is the same as shown in the picture below.    "
4,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_engtest Wireless Network Guide Service Set Identifier (SSID) ntu Since 802.11n is not supported by ntu, the provided maximum net data rate is up to 54 Mbps.  As the on-campus users increase, the demand could not be fulfilled. Thus ever since September first 2014, the ntu  service was abolished.  Users are recommended to use ntu_peap or NTU, for better net date rate. Service Set Identifier (SSID) eduroam If you have set up your NTU eduroam serviec, please go to this page to apply for  eduroam service. About Security Configurations of  eduroam Windows 11 Windows 10 Mac OS Android iPhone Service Set Identifier (SSID) ntu_peap Since July 15 2013, ntu_peap adopted the account and password system provided by Computer and Information  Networking Center(C&INC).  If you had ever signed up an account for ntu_peap before, please delete the previous settings and reset a email  account after the accound and password provided by C&INC(Note that @ntu.edu.tw is not included in an ntu_peap  account).  For how to delete the previous setting, please take a look of:  https://ccnet.ntu.edu.tw/wireless2/clear_peap.html About Security Configurations of  PEAP Windows 11 Windows 10 Mac OS Android iPhone (for iPad and iPod Touch as  well)   "
5,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_eduroam_mac_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_eduroam_mac_engtest Wireless Network Guide Service Set Identifier (SSID) eduroam Please follow the instructions below to set up eduroam on Mac OS. 1. Click on Wi-Fi in the menu bar. 2. Click to turn on Wi-Fi. 3. Choose eduraom listed below. 4. Enter username and password, then click to join eduroam. 5. As shown in the picture below, once the prompt box Verify Certificate pops out, please do click on Show Certificate for authentication in case you connect to a malicious  network. 6. Make sure the certificate is the same as shown in the picture below.   "
6,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_eduroam_win10_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_eduroam_win10_engtest Wireless Network Guide Windows 10 1 From the Taskbar, find internet access and select eduroam. 2 Enter your user name and password. 3 If Continue connecting is shown, please make sure you do click on Show  certificate details, for you may get connected to a malicious network that might result in data leakage. Please check the server certificate is the same as shown in the picture below.   "
7,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_eduroam_android110_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_eduroam_android110_engtest Wireless Network Guide Service Set Identifier (SSID) eduroam To set up your eduroam connection on Android operating system. 1. Go to 網路服務帳號 to apply for eduroam  service. 2. Go to Settings, tap on Wi-Fi and then select eduroam. 3. Enter your Identity in the format your NTU email@eduroam.ntu.edu.tw, and the  password you just set. 4. Choose MSCHAPV2 for Phase 2 authentication, Use system certificates for CA certificate and Require Status  for  Online certificate status. Lastly,  click to connect to eduroam.   "
8,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=PEAP_EAP-TTLS-ntu_peap_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=PEAP_EAP-TTLS-ntu_peap_engtest Wireless Network Guide 1. Windows 10 There are two ways to set up ntu_peap connection on Windows 10, either from wifi connection option in the taskbar or from traditional Control Panel for manually connecting to the network. From taskbar, you can connect to the network in a straightforward way, but it would rely on you to check the certificates for the network. On the other hand,   connecting from the Control Panel requires more steps for the settings, while providing better measures to prevent connecting to malicious networks.  1.1 Windows 10 (from taskbar) 1.1.1 From the Taskbar, find internet access and select ntu_peap. 1.1.2 Enter your username and password. 1.1.3 If Continue connecting is shown, please make sure you do click on Show certificate details, for you may   get connected to a malicious network that might result in data leakage. 4. Please check the server certificate is the same as shown in the picture below. 1.2 Windows 10 (from Control Panel) 1.2.1 Go to start and look for Control Panel. 1.2.2 Choose Control Panel. 1.2.3 Click on Network and Internet. 1.2.4 Click on Network and Sharing Center. 1.2.5 Click on Set up a new connection or network. 1.2.6 Click on Manually connect to a wireless network and click on next. 1.2.7 Enter ntu_peap as the Network name, choose WPA2-Enterprise for Secrurity type, and uncheck Start this connection automatically. Finally click on Next. 1.2.8 Click on Change connection settings. 1.2.9 Go to Secruity. 1.2.10 Click on Advanced settings. 1.2.11 Check Specify authentication mode and choose User authentication. Click on Save credentials, you may be asked to save your credentials, enter your username and password, and then click on OK. 1.2.12 Go to Settings. 1.2.13 Click on Configure... beside Select Authentication Method. 1.2.14 Uncheck Automatically use my Windows log-on name and password(and domain if any)., then click on OK. 1.2.15 Click on Connect to these server's identity by validating the certificate and enter adfs.ntu.edu.tw in the blank below.   Next, check TWCA Root Certification for Trusted Root Certification Authorities and choose Don't ask user to authorise new servers or trusted CAs for Notifications before connecting.  Finally, click on OK. 1.2.16 Now choose ntu_peap to connect. 1.2.17 You should successfully connect to ntu_peap after entering your username and password. If not, please contact the Computer and Information Networking Center of NTU. 2. macOS 2.1 Click on Wi-Fi in the menu bar. 2.2 Click to turn on Wi-Fi. 2.3 Choose ntu_peap listed below. 2.4 Enter username and password, then click to join ntu_peap. 2.5 As shown in the picture below, once the prompt box Verify Certificate pops out, please do click on Show Certificate for authentication in case you connect to a malicious network. 2.6 Make sure the certificate is the same as shown in the picture below. 3. iOS 3.1 Go to Settings > Wi-Fi. 3.2 In the Wi-Fi, available WiFi networks are shown, choose ntu_peap. 3.3 If ntu_peap is not shown, then choose Other and type in ntu_peap. 3.4 As shown, enter username and password, then click to join ntu_peap. 3.5 Please do click on More Details to check the certificate. 3.6 Please check whether the fingerprint, namely the SHA-256 and SHA-1, is the same as  shown in the picture below. 3.7 After checking the fingerprint, please click< Certificate to go back to the previous page. 3.8 If the fingerprints are not identical, please contact the Computer and Information Networking Center of  NTU,  and click to cancel connecting. 3.9 If identical, please click Trust to connect to ntu_peap. 4. Android 4.1 Go to Settings and select Wi-Fi. 4.2 Form the list of available networks, choose ntu_peap. 4.3 Enter the following details when you are asked to sign in for ntu_peap. EAP method: PEAP Phase-2 authentication: MSCHAPV2 Domain: ntu.edu.tw 4.4 Enter your account and password. 4.5 Click to connect to ntu_peap. 4.6 If you cannot successfully connect to the network following the steps above, please contact Computer and  Information Networking Center of NTU. For reminder, never choose Do not validate in >Online certificate  status, otherwise your personal information might be leaked to malicious users.   "
9,ccnet.ntu.edu.tw_wireless_ccnet_wireless_engtest.php?page=wireless_eduroam_ios_engtest.txt,"網址（url）：https://ccnet.ntu.edu.tw/wireless/ccnet/wireless_engtest.php?page=wireless_eduroam_ios_engtest Wireless Network Guide Service Set Identifier (SSID) eduroam Please follow the instructions below to set up your eduroam on APPLE IPHONE. 1. Go to Settings > Wi-Fi. 2. In the Wi-Fi, available WiFi networks are shown, choose eduroam. 3. If eduroam is not shown, then choose Other and type in eduroam. 4. As shown, enter username and password, then click to join eduroam. 5. Please do click on More Details to check the certificate. 6. Please check whether the fingerprint, namely the SHA-256 and SHA-1, is the same as  shown in the picture below. 7. After checking the fingerprint, please click< Certificate to go back to the previous page. 8. If the fingerprints are not identical, please contact the Computer and Information Networking Center of  NTU,  and click to cancel connecting. 9 If identical, please click Trust to connect to eduroam.   "
